DATE,BTC,EPU,ETH,EURO,GOLD,LIBRA,SP500,VIX,WTICO,YUAN
03/01/2017,1020.67,89.85,9.59,1.04,1151.00,1.23,2257.83,12.85,52.36,6.96
04/01/2017,1130.30,101.99,11.17,1.05,1164.25,1.23,2270.75,11.85,53.26,6.93
05/01/2017,1007.00,134.47,10.23,1.06,1176.70,1.24,2269.00,11.67,53.77,6.89
06/01/2017,895.71,96.97,10.14,1.06,1175.85,1.23,2276.98,11.32,53.98,6.92
09/01/2017,902.66,121.76,10.39,1.06,1178.50,1.22,2268.90,11.56,51.95,6.94
10/01/2017,907.00,121.90,10.63,1.06,1189.50,1.22,2268.90,11.49,50.82,6.92
11/01/2017,795.77,124.56,9.95,1.05,1178.55,1.21,2275.32,11.26,52.19,6.94
12/01/2017,812.25,113.32,9.80,1.07,1205.05,1.22,2270.44,11.54,53.01,6.89
13/01/2017,831.42,135.56,9.84,1.06,1190.35,1.22,2274.64,11.23,52.36,6.90
17/01/2017,906.00,160.96,10.34,1.07,1216.05,1.24,2267.89,11.87,52.45,6.85
18/01/2017,887.99,135.59,10.23,1.07,1214.75,1.23,2271.89,12.48,51.12,6.84
19/01/2017,902.92,95.56,10.42,1.06,1196.05,1.23,2263.69,12.78,51.39,6.87
23/01/2017,910.70,154.77,10.80,1.07,1212.85,1.25,2265.20,11.77,52.77,6.85
24/01/2017,887.00,136.15,10.57,1.07,1216.80,1.25,2280.07,11.07,52.38,6.86
25/01/2017,896.00,175.14,10.55,1.07,1195.00,1.26,2298.37,10.81,52.14,6.88
26/01/2017,917.02,89.25,10.60,1.07,1189.70,1.26,2296.68,10.63,53.24,6.88
27/01/2017,922.63,135.05,10.55,1.07,1184.85,1.25,2294.69,10.58,53.18,6.88
30/01/2017,923.23,115.06,10.60,1.07,1192.80,1.25,2280.90,11.88,52.63,6.88
31/01/2017,970.01,139.29,10.70,1.08,1212.80,1.26,2278.87,11.99,52.75,6.88
01/02/2017,992.75,158.28,10.72,1.08,1203.65,1.26,2279.55,11.81,53.90,6.88
02/02/2017,1008.38,113.53,10.82,1.08,1221.95,1.25,2280.85,11.93,53.55,6.88
03/02/2017,1018.00,131.28,10.99,1.08,1215.20,1.25,2297.42,10.97,53.81,6.87
06/02/2017,1022.58,150.83,11.34,1.07,1226.75,1.25,2292.56,11.37,53.01,6.86
07/02/2017,1053.96,121.82,11.51,1.07,1231.00,1.25,2293.08,11.29,52.19,6.88
08/02/2017,1056.70,118.99,11.41,1.07,1242.10,1.25,2294.67,11.45,52.37,6.87
09/02/2017,994.24,74.34,11.02,1.07,1236.80,1.25,2307.87,10.88,52.99,6.87
10/02/2017,1001.99,231.24,11.43,1.07,1228.30,1.25,2316.10,10.85,53.84,6.88
13/02/2017,1002.82,77.85,11.43,1.06,1222.25,1.25,2328.25,11.07,52.96,6.88
14/02/2017,1013.92,120.20,13.14,1.06,1230.75,1.25,2337.58,10.74,53.21,6.86
15/02/2017,1014.53,130.16,12.98,1.06,1224.40,1.25,2349.25,11.97,53.11,6.87
16/02/2017,1038.94,89.07,12.89,1.07,1240.55,1.25,2347.22,11.76,53.41,6.85
17/02/2017,1057.30,143.29,12.75,1.06,1241.95,1.24,2351.16,11.49,53.41,6.86
21/02/2017,1128.29,87.54,12.83,1.06,1233.20,1.25,2365.38,11.57,54.02,6.88
22/02/2017,1128.71,226.71,12.75,1.06,1236.65,1.25,2362.82,11.74,53.61,6.88
23/02/2017,1186.90,84.74,13.21,1.06,1247.90,1.25,2363.81,11.71,54.48,6.86
24/02/2017,1186.91,99.00,13.20,1.06,1253.65,1.25,2367.34,11.47,53.99,6.86
27/02/2017,1195.81,117.37,15.66,1.06,1257.20,1.25,2369.75,12.09,54.04,6.87
28/02/2017,1195.08,114.25,16.40,1.06,1255.60,1.24,2363.64,12.92,54.00,6.87
01/03/2017,1230.00,111.90,17.37,1.06,1240.40,1.23,2395.96,12.54,53.82,6.88
02/03/2017,1269.17,125.27,19.27,1.05,1238.10,1.23,2381.92,11.81,52.63,6.89
03/03/2017,1292.86,88.91,19.68,1.06,1226.50,1.22,2383.12,10.96,53.33,6.90
06/03/2017,1284.99,104.29,19.68,1.06,1230.95,1.22,2375.31,11.24,53.19,6.90
07/03/2017,1237.36,71.17,18.96,1.06,1216.65,1.22,2368.39,11.45,52.68,6.90
08/03/2017,1150.22,124.51,16.68,1.05,1209.20,1.22,2362.98,11.86,49.83,6.91
09/03/2017,1197.30,95.37,17.82,1.06,1206.55,1.22,2364.87,12.30,48.75,6.91
10/03/2017,1109.01,81.65,19.20,1.07,1202.65,1.22,2372.60,11.66,48.05,6.91
13/03/2017,1245.49,56.50,28.64,1.07,1204.20,1.22,2373.47,11.35,47.95,6.91
14/03/2017,1247.42,122.30,28.69,1.06,1204.60,1.22,2365.45,12.30,47.24,6.91
15/03/2017,1263.00,159.48,35.65,1.06,1198.80,1.22,2385.26,11.63,48.34,6.91
16/03/2017,1175.11,91.44,45.96,1.07,1229.35,1.24,2381.38,11.21,48.30,6.91
17/03/2017,1069.57,152.01,44.62,1.07,1229.60,1.24,2378.25,11.28,48.34,6.90
20/03/2017,1044.96,161.69,42.31,1.08,1232.40,1.24,2373.47,11.34,47.79,6.91
21/03/2017,1114.42,184.47,42.36,1.08,1241.60,1.25,2344.02,12.47,47.02,6.88
22/03/2017,1034.57,65.80,41.37,1.08,1249.05,1.25,2348.45,12.81,47.29,6.88
23/03/2017,1025.14,48.67,42.99,1.08,1247.50,1.25,2345.96,13.12,47.00,6.88
24/03/2017,934.87,106.37,52.93,1.08,1247.50,1.25,2343.98,12.96,47.30,6.88
27/03/2017,1042.08,83.12,48.97,1.09,1257.55,1.26,2341.59,12.50,47.02,6.87
28/03/2017,1045.40,89.73,50.30,1.09,1257.25,1.25,2358.57,11.53,48.36,6.88
29/03/2017,1043.27,66.64,53.10,1.08,1251.10,1.24,2361.13,11.42,49.47,6.89
30/03/2017,1042.34,91.55,51.88,1.07,1248.80,1.25,2368.06,11.54,50.30,6.89
31/03/2017,1088.99,221.37,50.18,1.07,1244.85,1.25,2362.72,12.37,50.54,6.88
03/04/2017,1152.60,115.76,44.25,1.07,1247.25,1.25,2358.84,12.38,50.25,6.88
04/04/2017,1143.99,103.95,44.47,1.07,1257.65,1.24,2360.16,11.79,50.99,6.88
05/04/2017,1132.99,75.28,44.78,1.07,1245.80,1.25,2352.95,12.89,51.14,6.89
06/04/2017,1192.30,82.38,43.30,1.07,1252.50,1.25,2357.49,12.39,51.69,6.90
07/04/2017,1194.00,67.93,42.32,1.06,1266.45,1.24,2355.54,12.87,52.25,6.90
10/04/2017,1210.00,118.06,43.92,1.06,1250.05,1.24,2357.16,14.05,53.06,6.90
11/04/2017,1223.99,41.86,43.83,1.06,1252.90,1.25,2353.78,15.07,53.38,6.89
12/04/2017,1214.17,79.49,46.48,1.06,1274.30,1.25,2344.93,15.77,53.12,6.89
13/04/2017,1177.05,59.73,49.77,1.06,1284.15,1.25,2328.95,15.96,53.19,6.89
17/04/2017,1189.91,119.99,47.94,1.07,1284.15,1.26,2349.01,14.66,52.62,6.88
18/04/2017,1201.94,71.39,49.79,1.07,1278.95,1.28,2342.19,14.42,52.46,6.88
19/04/2017,1214.21,93.31,47.78,1.07,1279.05,1.28,2338.17,14.93,50.49,6.89
20/04/2017,1236.15,55.86,49.38,1.08,1282.10,1.28,2355.84,14.15,50.26,6.88
21/04/2017,1249.99,124.51,48.37,1.07,1281.85,1.28,2348.69,14.63,49.64,6.88
24/04/2017,1257.29,144.04,50.12,1.08,1269.40,1.28,2374.15,10.84,48.90,6.88
25/04/2017,1281.16,58.82,50.31,1.09,1267.80,1.28,2388.61,10.76,49.22,6.88
26/04/2017,1298.44,70.40,53.42,1.09,1261.85,1.28,2387.45,10.85,49.22,6.89
27/04/2017,1349.26,63.06,63.67,1.09,1262.80,1.29,2388.77,10.36,48.96,6.90
28/04/2017,1353.34,62.79,73.14,1.09,1266.45,1.29,2384.20,10.82,49.31,6.89
01/05/2017,1436.50,97.49,79.35,1.09,1266.45,1.29,2388.33,10.11,48.83,6.89
02/05/2017,1471.99,89.58,77.55,1.09,1255.45,1.29,2391.17,10.59,47.65,6.89
03/05/2017,1533.00,86.79,81.29,1.09,1250.30,1.29,2388.13,10.68,47.79,6.90
04/05/2017,1563.39,184.47,95.97,1.10,1228.45,1.29,2389.52,10.46,45.55,6.90
05/05/2017,1551.30,72.21,91.93,1.10,1228.05,1.30,2399.29,10.57,46.23,6.90
08/05/2017,1713.00,113.15,89.25,1.09,1229.80,1.29,2399.38,9.77,46.46,6.90
09/05/2017,1720.43,84.95,86.58,1.09,1220.40,1.29,2396.92,9.96,45.84,6.91
10/05/2017,1794.99,67.32,88.36,1.09,1222.95,1.29,2399.63,10.21,47.28,6.90
11/05/2017,1837.93,49.78,88.30,1.09,1223.15,1.29,2394.44,10.60,47.81,6.90
12/05/2017,1695.61,129.40,85.17,1.09,1231.25,1.29,2390.90,10.40,47.83,6.90
15/05/2017,1747.81,169.44,91.00,1.10,1233.30,1.29,2402.32,10.42,48.86,6.89
16/05/2017,1777.48,118.00,87.98,1.11,1234.20,1.29,2400.67,10.65,48.64,6.88
17/05/2017,1813.23,62.79,86.88,1.11,1257.40,1.29,2357.03,15.59,49.04,6.88
